cast,continent,country,country_cleaned,date_added,day,description,difference,director,duration,duration_min,duration_season,listed_in,month,rating,release_year,show_id,title,type,year,service
"mert yazıcıoğlu, afra saraçoğlu, yiğit kirazcı, orkun işıtmak, bahar şahin, tolga canbeyli, bada oh deniz, hakan kurtaş, doğaç yildiz",asia,turkey,missing,2020-10-03,3,new high school grad and avid gamer cenk is recruited to an intense esports team that trains for a tournament with a life-changing prize.,33,umut aral,115 min,115.0,,"dramas, international movies, sports movies",10,tv-14,2018,s1889,good game: the beginning,movie,2020,netflix
missing,missing,missing,missing,2020-10-03,3,"for como and his friends, each new adventure is a lesson on why it's important to be considerate — and to take care of one another!",57,missing,1 season,,1.0,kids' tv,10,tv-y,2016,s1890,pat a pat como,tv show,2020,netflix
missing,missing,missing,missing,2020-10-03,3,"shrunk down in size, como and his friends examine the wonder-filled world around them one item at a time, from foods to household goods.",45,missing,1 season,,1.0,kids' tv,10,tv-y,2017,s1891,qurious como,tv show,2020,netflix
"emre karayel, ceren moray, begüm kütük, ececan gümeci, ümit erdim, cem kiliç, haldun boysan, ferdi akarnur, mine teber, güneş hayat",asia,turkey,missing,2020-10-02,2,"forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.",57,umut kirca,94 min,94.0,,"comedies, international movies, romantic movies",10,tv-14,2016,s1892,a chaster marriage,movie,2020,netflix
"alan c. lim, smith foreman, maisie benson, ann kendrick, kerry gudjohnsen, paul killam, stanley moore, tyler hendrix, ella joy ballesteros, jimmy olea",missing,missing,missing,2020-10-02,2,"cory, chrissy and freddie are on the hunt for king-sized candy bars this halloween! but are all the treats worth the trek to the spooky side of town?",9,"alex woo, stanley moore",22 min,22.0,,children & family movies,10,tv-y,2020,s1893,a go! go! cory carson halloween,movie,2020,netflix
"lily collins, philippine leroy-beaulieu, ashley park, lucas bravo, kate walsh, samuel arnold, bruno gouery, camille razat",north america,united states,missing,2020-10-02,2,"after landing her dream job in paris, chicago marketing exec emily cooper embraces her adventurous new life while juggling work, friends and romance.",9,missing,1 season,,1.0,"romantic tv shows, tv comedies, tv dramas",10,tv-ma,2020,s1895,emily in paris,tv show,2020,netflix
"beverly osu, sharon ooja, omowunmi dada, pearl okorie, wofai samuel, ikechukwu onunaku, kemi lala akindoju, blossom chukwujekwu, adebukola oladipupo, omoni oboli, segun arinze, ada ameh, sambasa nzeribe, patrick doyle, gregory ojefua",africa,nigeria,missing,2020-10-02,2,"in lagos, a journalist goes undercover as a prostitute to expose human trafficking. what she finds is a world of exploited women and ruthless violence.",9,kenneth gyang,107 min,107.0,,"dramas, international movies",10,tv-ma,2020,s1897,òlòtūré,movie,2020,netflix
"nawazuddin siddiqui, nasser, aakshath das, indira tiwari, sanjay narvekar, shweta basu prasad",asia,india,missing,2020-10-02,2,"when a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved, his ruse could be especially dangerous for his young son.",9,sudhir mishra,115 min,115.0,,"comedies, dramas, international movies",10,tv-ma,2020,s1898,serious men,movie,2020,netflix
"riccardo scamarcio, mía maestro",europe,italy,missing,2020-10-02,2,"while visiting her fiancé's mother in southern italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.",9,domenico de feudis,93 min,93.0,,"horror movies, international movies, thrillers",10,tv-ma,2020,s1899,the binding,movie,2020,netflix
"binnur kaya, demet özdemir, uraz kaygılaroğlu, okan çabalar, bora cengiz, nergis öztürk, berat yenilmez, meltem gülenç, hakan salınmış",asia,turkey,missing,2020-10-02,2,a woman recovering from an attempted suicide meets an aspiring doctor who takes a keen interest in her efforts to move forward in life through dance.,45,burak aksak,107 min,107.0,,"comedies, international movies, romantic movies",10,tv-ma,2017,s1900,turkish dance school,movie,2020,netflix
"jaden michael, gerald w. jones iii, gregory diaz iv, sarah gadon, method man, shea whigham, coco jones, the kid mero, chris redd, vladimir caamaño, jeremie harris, adam david thompson, zoe saldana",north america,united states,missing,2020-10-02,2,three gutsy kids from a rapidly gentrifying bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.,9,oz rodriguez,86 min,86.0,,"comedies, horror movies",10,pg-13,2020,s1901,vampires vs. the bronx,movie,2020,netflix
"mauricio ochmann, esmeralda pimentel, matteo giannini, regina reynoso, juan martín jauregui, tato alexander, verónica bravo, fernando becerril, moisés arizmendi, tiaré scanda, mariana cabrera, montserrat marañón, verónica langer",north america,mexico,missing,2020-10-02,2,an ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. then he brings someone new home.,9,salvador espinosa,112 min,112.0,,"comedies, international movies, romantic movies",10,tv-ma,2020,s1902,you've got this,movie,2020,netflix
"hairul azreen, janna nick, amerul affendi, henley hii, nam ron, theebaan govindasamy, taufiq hanafi, hafizul kamal, josiah hogan, sophia albarakbah, sugeeta chandran, anna jobling",asia,malaysia,missing,2020-10-01,1,"after falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",9,adrian teh,102 min,102.0,,"action & adventure, comedies, international movies",10,tv-pg,2020,s1903,all because of you,movie,2020,netflix
"ben kingsley, hera hilmar, peter serafinowicz",multi-continent,"serbia, united states",missing,2020-10-01,1,"a war criminal in hiding begins to suspect that the maid, his only confidant and contact with the outside world, may be hiding something herself.",45,brad silberling,91 min,91.0,,"dramas, thrillers",10,r,2017,s1904,an ordinary man,movie,2020,netflix
"edward james olmos, zach de la rocha",north america,united states,missing,2020-10-01,1,"mixing archival footage with interviews, this film celebrates one of los angeles's most influential painters and chicano art activists from the 1970s.",21,"elsa flores almaraz, richard j montoya",83 min,83.0,,"documentaries, lgbtq movies",10,tv-14,2019,s1905,carlos almaraz: playing with fire,movie,2020,netflix
"tony kgoroge, yu nan, thomas gumede, deon lotz, fana mokoena, zolani mahola, kenneth fok, nicole bessick",africa,south africa,missing,2020-10-01,1,"when a war breaks out between competing gangs of smugglers in cape town, south africa, an honest cop is pressured to work for a powerful crime lord.",93,carey mckenzie,73 min,73.0,,"action & adventure, dramas, international movies",10,tv-ma,2013,s1906,cold harbour,movie,2020,netflix
"katja herbers, mike colter, aasif mandvi, michael emerson, christine lahti, kurt fuller, marti matulis",north america,united states,missing,2020-10-01,1,a forensic psychologist partners with a catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.,21,missing,1 season,,1.0,tv dramas,10,tv-14,2019,s1907,evil,tv show,2020,netflix
"ji sung, han ji-min, kang han-na, jang seung-jo",asia,south korea,missing,2020-10-01,1,"after receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",33,missing,1 season,,1.0,"international tv shows, romantic tv shows, tv dramas",10,tv-ma,2018,s1908,familiar wife,tv show,2020,netflix
"yoshitsugu matsuoka, risa taneda, minami takahashi, shizuka ishigami, natsuki hanae, yuki ono, takahiro sakurai, ai kayano, maaya uchida, taishi murata, yusuke kobayashi, saori onishi, hisako kanemoto, chinatsu akasaki, nobuhiko okamoto, junichi suwabe, yuichi nakamura, jun fukuyama",asia,japan,missing,2020-10-01,1,"young chef soma enters the prestigious totsuki culinary academy, where he must emerge victorious in over-the-top cooking battles or face expulsion.",57,missing,2 seasons,,2.0,"anime series, international tv shows, teen tv shows",10,tv-ma,2016,s1909,food wars!: shokugeki no soma,tv show,2020,netflix
"matthew mcconaughey, gugu mbatha-raw, mahershala ali, keri russell, christopher berry, sean bridgers, jacob lofland, thomas francis murphy, bill tangradi",north america,united states,missing,2020-10-01,1,a mississippi farmer turns outlaw as he leads a ragtag band of fellow civil war deserters and escaped slaves in a rebellion against the confederacy.,57,gary ross,139 min,139.0,,"action & adventure, dramas",10,r,2016,s1910,free state of jones,movie,2020,netflix
"tainá müller, eduardo moscovis, camila morgado, antonio grassi, elisa volpatto, césar mello, sílvio guindane, alice valverde, dj amorim, adriano garib, johnnas oliva, marina provenzzano, josé rubens chachá, julia ianina, sacha bali, aline borges, cassio pandolfi, pally siqueira, juliana lohmann",south america,brazil,missing,2020-10-01,1,"while hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",9,missing,1 season,,1.0,"crime tv shows, international tv shows, tv mysteries",10,tv-ma,2020,s1911,"good morning, verônica",tv show,2020,netflix
missing,north america,united states,missing,2020-10-01,1,"from breakthrough science to the boundaries of morality, this documentary spotlights a revelation in genetic modification research known as crispr.",21,adam bolt,95 min,95.0,,documentaries,10,tv-14,2019,s1912,human nature,movie,2020,netflix
"sam neill, julian dennison, rima te wiata, rachel house, tioreore ngatai-melbourne, oscar kightley, stan walker, mike minogue, cohen holloway, rhys darby",oceania,new zealand,missing,2020-10-01,1,a misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.,57,taika waititi,101 min,101.0,,"action & adventure, comedies, dramas",10,pg-13,2016,s1913,hunt for the wilderpeople,movie,2020,netflix
missing,north america,"united states, mexico",missing,2020-10-01,1,"in this evocative documentary, an undocumented immigrant plans to return to mexico after 16 years but his family tells him he needs to stay in the us.",21,"lindsey cordero, armando croda",75 min,75.0,,"documentaries, international movies",10,tv-ma,2019,s1914,i'm leaving now,movie,2020,netflix
olasupo shasore,missing,missing,missing,2020-10-01,1,this docuseries delves into the untold stories and unsung heroes that paved nigeria's road to independence. based on the books by host olasupo shasore.,33,missing,1 season,,1.0,"docuseries, international tv shows",10,tv-ma,2018,s1915,journey of an african colony,tv show,2020,netflix
"mišel matičević, martina gedeck, klaus steinbacher, mercedes müller, maximilian brückner, brigitte hobmeier, markus krojer, martin feifel, michael kranz, vladimir burlakov",europe,"germany, czech republic",missing,2020-10-01,1,"in 1900 munich, ambitious brewer curt prank uses brutal tactics on his quest to build a beer hall that will dominate the city's lucrative oktoberfest.",9,missing,1 season,,1.0,"international tv shows, tv dramas",10,tv-ma,2020,s1916,oktoberfest: beer & blood,tv show,2020,netflix
"oriana sabatini, victorio d'alessandro, noemí frenkel, matías mayer, paula sartor, agustina palma, graciela tenenbaum, bárbara lombardo",south america,argentina,missing,2020-10-01,1,"in 1940 argentina, a jewish 17-year-old on vacation with her family falls in love with a young nazi lawyer staying at the same hotel.",21,missing,1 season,,1.0,"international tv shows, romantic tv shows, spanish-language tv shows",10,tv-ma,2019,s1918,secreto bien guardado,tv show,2020,netflix
"yoshitsugu matsuoka, haruka tomatsu, ayana taketatsu, kanae ito, rina hidaka, ayahi takagaki, hiroaki hirata, hiroki yasumoto, saori hayami, koichi yamadera",asia,japan,missing,2020-10-01,1,a video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.,33,missing,3 seasons,,3.0,"anime series, international tv shows",10,tv-ma,2018,s1919,sword art online,tv show,2020,netflix
"nahed el sebaï, ahmed fahmi, shaima saif, bayoumi fouad, entsar",missing,missing,missing,2020-10-01,1,a financially struggling young couple's relationship is tested when the ceo of the company they work for tempts them with a nearly irresistible offer.,21,mostafa abu seif,91 min,91.0,,"comedies, international movies, romantic movies",10,tv-pg,2019,s1920,the american game,movie,2020,netflix
"baraa alem, ismail alhassan, ahmed saddam, sohayb godus, nawaf alshubaili, eyad ayman kaifi",asia,saudi arabia,missing,2020-10-01,1,"a high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future.",9,faris godus,120 min,120.0,,"comedies, independent movies, international movies",10,tv-14,2020,s1921,the book of sun,movie,2020,netflix
"scott eastwood, caleb landry jones, orlando bloom, jack kesy, cory hardrict, milo gibson, jacob scipio, taylor john smith, jonathan yunger, alexander arnold",multi-continent,"united states, bulgaria",missing,2020-10-01,1,a group of vastly outnumbered u.s. soldiers at a remote afghanistan base must fend off a brutal offensive by taliban fighters in the battle of kamdesh.,9,rod lurie,123 min,123.0,,"action & adventure, dramas",10,r,2020,s1922,the outpost,movie,2020,netflix
"walton goggins, rob corddry, michaela watkins, omar benson miller, maya lynne robinson, ruby jay, makenzie moss",north america,united states,missing,2020-10-01,1,"a widowed father of two girls navigates the world of dating, surprised to learn that many women consider him a hot commodity.",21,missing,1 season,,1.0,"tv comedies, tv dramas",10,tv-14,2019,s1924,the unicorn,tv show,2020,netflix
"taissa farmiga, alexandra daddario, crispin glover, sebastian stan, paula malcomson, peter coonan, ian toner, joanne crawford",north america,united states,missing,2020-10-01,1,the fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.,33,stacie passon,95 min,95.0,,"dramas, thrillers",10,tv-14,2018,s1925,we have always lived in the castle,movie,2020,netflix
"blanca soto, eduardo noriega, iván sánchez, maribel verdú, samantha siqueiros, peter vives, patricia guirado, jorge bosch, pere ponce, juan caballero, jordi planas",north america,mexico,missing,2020-10-01,1,"a nurse and her daughter flee her husband’s drug-trafficking past in mexico and assume new identities in spain, but still face danger in madrid.",9,missing,1 season,,1.0,"crime tv shows, international tv shows, spanish-language tv shows",10,tv-ma,2020,s1926,you cannot hide,tv show,2020,netflix
missing,north america,united states,missing,2020-09-30,30,"using raw, firsthand footage, this documentary examines the disappearance of shanann watts and her children, and the terrible events that followed.",8,jenny popplewell,84 min,84.0,,documentaries,9,tv-ma,2020,s1927,american murder: the family next door,movie,2020,netflix
"camilla jo-ann daries, wafeeq narimab, anna louw, steven afrikaner, ashwyn mberi, robert hara gaeb",africa,namibia,missing,2020-09-30,30,a young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family.,20,florian schott,29 min,29.0,,"dramas, international movies",9,tv-pg,2019,s1928,baxu and the giants,movie,2020,netflix
"daisuke ono, maaya sakamoto, hiroki touchi, yuki kaji, emiri kato, koji yusa, shunji fujimura, yukari tamura, romi park, jun fukuyama",asia,japan,missing,2020-09-30,30,"in victorian london, 12-year-old business magnate ciel phantomhive thwarts dangers to the queen as he's watched over by his demon butler, sebastian.",128,missing,3 seasons,,3.0,"anime series, international tv shows",9,tv-ma,2010,s1929,black butler,tv show,2020,netflix
"matt leblanc, liza snyder, grace kaufman, matthew mccann, hala finley, matt cook, jessica chaffin",north america,united states,missing,2020-09-30,30,"when his wife andi returns to work, contractor adam burns becomes a stay-at-home dad and discovers that parenting is a tougher job than he realized.",8,missing,4 seasons,,4.0,tv comedies,9,tv-pg,2020,s1930,man with a plan,tv show,2020,netflix
"brian ogola, davina leonard, shiviske shivisi, lenny juma, olwenya maina, peter king, alfred munyua, mwajuma belle",multi-continent,"united kingdom, kenya",missing,2020-09-30,30,a daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games.,32,tom whitworth,28 min,28.0,,"dramas, international movies, thrillers",9,tv-ma,2018,s1931,poacher,movie,2020,netflix
"jim parsons, zachary quinto, matt bomer, andrew rannells, charlie carver, robin de jesús, brian hutchison, michael benjamin washington, tuc watkins",north america,united states,missing,2020-09-30,30,"at a birthday party in 1968 new york, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",8,joe mantello,122 min,122.0,,"dramas, lgbtq movies",9,r,2020,s1932,the boys in the band,movie,2020,netflix
"jim parsons, zachary quinto, matt bomer, andrew rannells, charlie carver, robin de jesús, brian hutchison, michael benjamin washington, tuc watkins, joe mantello, ned martel, mart crowley",north america,united states,missing,2020-09-30,30,"decades after his play first put gay life center stage, mart crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",8,missing,28 min,28.0,,"documentaries, lgbtq movies",9,tv-ma,2020,s1933,the boys in the band: something personal,movie,2020,netflix
"danielle cormack, nicole da silva, kate atkinson, celia ireland, shareena clanton, aaron jeffery, robbie magasiva, katrina milosevic, jacqueline brennan, ra chapman, pamela rabe, sigrid thornton, socratis otto, bernard curry, tammy macintosh, kate jenkinson",oceania,australia,missing,2020-09-30,30,bea smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison.,8,missing,8 seasons,,8.0,"crime tv shows, tv dramas",9,tv-ma,2020,s1934,wentworth,tv show,2020,netflix
missing,north america,united states,missing,2020-09-29,29,this eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.,104,lee hirsch,98 min,98.0,,documentaries,9,pg-13,2012,s1935,bully,movie,2020,netflix
michelle buteau,north america,united states,missing,2020-09-29,29,"scene-stealing queen michelle buteau dazzles with real talk on relationships, parenthood, cultural differences and the government workers who adore her.",8,page hurwitz,59 min,59.0,,stand-up comedy,9,tv-ma,2020,s1936,michelle buteau: welcome to buteaupia,movie,2020,netflix
"michael jai white, michael eklund, sabryn rock, nakai takawira, lyric justice, sagine semajuste, gary owen, anthony grant, kristen harris, bj verot, sean skene, marrese crump, stephanie sy, jeff strome, adam hurtig, gillian white, anthony j. mifsud",north america,united states,missing,2020-09-29,29,"at a basketball game, an ex-special forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage.",8,dallas jackson,80 min,80.0,,action & adventure,9,r,2020,s1937,welcome to sudden death,movie,2020,netflix
"sanjay mishra, seema pahwa, rajat kapoor, taranjit kaur, maya sarao, chandrachoor rai, namit das, brijendra kala, alka chawla, manu rishi chadha",asia,india,missing,2020-09-28,28,"after a distressing incident, a delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",92,rajat kapoor,104 min,104.0,,"dramas, independent movies, international movies",9,tv-pg,2013,s1939,ankhon dekhi,movie,2020,netflix
"naseeruddin shah, madhuri dixit, arshad warsi, huma qureshi, vijay raaz, manoj pahwa, salman shahid",asia,india,missing,2020-09-28,28,"after failing to win the heart of an aristocrat's widow, a thief plans to abduct her, only to discover that there are others with the same idea.",80,abhishek chaubey,146 min,146.0,,"comedies, dramas, international movies",9,tv-14,2014,s1940,dedh ishqiya,movie,2020,netflix
missing,north america,united states,missing,2020-09-28,28,"the right to vote is at the foundation of america's democracy. but not every vote is created equal. how does the system work, and can it be fixed?",8,missing,1 season,,1.0,docuseries,9,tv-pg,2020,s1948,"whose vote counts, explained",tv show,2020,netflix
"kelly overton, jonathan scarfe, christopher heyerdahl, paul johansson, david cubitt, tim guinee",north america,united states,missing,2020-09-27,27,"after three years in a coma, vanessa awakens to a world ravaged by vampires. now, she and a motley band of fellow survivors fight to stay alive.",20,missing,4 seasons,,4.0,"international tv shows, tv action & adventure, tv dramas",9,tv-ma,2019,s1949,van helsing,tv show,2020,netflix
"kristen bell, ted danson, william jackson harper, jameela jamil, d'arcy carden, manny jacinto",north america,united states,missing,2020-09-26,26,"due to an error, self-absorbed eleanor shellstrop arrives at the good place after her death. determined to stay, she tries to become a better person.",8,missing,4 seasons,,4.0,tv comedies,9,tv-14,2020,s1950,the good place,tv show,2020,netflix
"chirag malhotra, pranay pachauri, kaamya sharma, riya kothari, aditya jain, shiva dawar, sanya arora, tarana marwah, raunaq chopra, vedabrata rao",asia,india,missing,2020-09-26,26,"raised in the privileged bubble of delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay.",68,rikhil bahadur,98 min,98.0,,"dramas, independent movies, international movies",9,tv-14,2015,s1951,time out,movie,2020,netflix
missing,europe,germany,missing,2020-09-25,25,"this docuseries investigates the 1991 killing of politician detlev rohwedder, an unsolved mystery at the heart of germany's tumultuous reunification.",8,missing,1 season,,1.0,"crime tv shows, docuseries, international tv shows",9,tv-14,2020,s1952,a perfect crime,tv show,2020,netflix
missing,missing,missing,missing,2020-09-25,25,an innocent toddler’s boundless curiosity – and extraordinary might – lead to mischief and adventure in his small indian town.,8,missing,3 seasons,,3.0,"kids' tv, tv comedies",9,tv-y,2020,s1953,mighty little bheem,tv show,2020,netflix
"ozan güven, meryem uzerli, belçim bilgin, okan yalabık, bora akkaş, sabina ajrula",missing,missing,missing,2020-09-25,25,"after leaving the orphanage where he was raised, a teen searches for his family only to find work at a farm, where secrets of the past begin to surface.",56,ozan açıktan,115 min,115.0,,"dramas, international movies",9,tv-ma,2016,s1954,my mother's wound,movie,2020,netflix
"allen maldonado, andrew bachelor, jearnest corchado, matthew josten, yaani king mondschein, justin lee, aja evans",north america,united states,missing,2020-09-25,25,family man devin falls back into his sneaker obsession after his pal bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.,8,missing,1 season,,1.0,tv comedies,9,tv-ma,2020,s1955,sneakerheads,tv show,2020,netflix
"jung yu-mi, nam joo-hyuk",asia,south korea,missing,2020-09-25,25,"wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",8,missing,1 season,,1.0,"international tv shows, tv dramas, tv mysteries",9,tv-ma,2020,s1956,the school nurse files,tv show,2020,netflix
nasty c,missing,missing,missing,2020-09-25,25,"in this documentary, south african rapper nasty c hits the stage and streets of tokyo, introducing himself to the city's sights, sounds and culture.",20,missing,44 min,44.0,,"documentaries, international movies, music & musicals",9,tv-ma,2019,s1957,zulu man in japan,movie,2020,netflix
"hugh jackman, dakota goyo, evangeline lilly, anthony mackie, kevin durand, hope davis, james rebhorn, karl yune, olga fonda, john gatins",multi-continent,"united states, india",missing,2020-09-24,24,a struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty world robot boxing contender.,116,shawn levy,127 min,127.0,,"action & adventure, sci-fi & fantasy, sports movies",9,pg-13,2011,s1958,real steel,movie,2020,netflix
"jon favreau, roy choi",north america,united states,missing,2020-09-24,24,"writer, director and food enthusiast jon favreau and chef roy choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",8,missing,4 seasons,,4.0,docuseries,9,tv-ma,2020,s1959,the chef show,tv show,2020,netflix
"millie bobby brown, henry cavill, sam claflin, helena bonham carter, louis partridge, burn gorman, adeel akhtar, susan wokoma, frances de la tour, fiona shaw",europe,united kingdom,missing,2020-09-23,23,"while searching for her missing mother, intrepid teen enola holmes uses her sleuthing skills to outsmart big brother sherlock and help a runaway lord.",8,harry bradbeer,124 min,124.0,,"action & adventure, children & family movies, dramas",9,pg-13,2020,s1960,enola holmes,movie,2020,netflix
woody harrelson,north america,united states,missing,2020-09-22,22,science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.,8,"joshua tickell, rebecca harrell tickell",85 min,85.0,,documentaries,9,tv-g,2020,s1961,kiss the ground,movie,2020,netflix
missing,north america,united states,missing,2020-09-22,22,coaches with championship résumés share their personal rules for success in sports and life in this reflective and inspiring documentary series.,8,missing,1 season,,1.0,docuseries,9,tv-ma,2020,s1962,the playbook,tv show,2020,netflix
missing,north america,united states,missing,2020-09-21,21,the killing of latasha harlins became a flashpoint for the 1992 la uprising. this documentary evocatively explores the 15-year-old's life and dreams.,8,sophia nahli allison,20 min,20.0,,documentaries,9,tv-pg,2020,s1963,a love song for latasha,movie,2020,netflix
"kenjiro yamashita, kanta sato, taiki sato, masayasu yagi, kousei amano, miu arai, taro suruga, yuko fueki, tomoki hirose, ryo matsuda, masaru mizuno, shunsuke tanaka, fumihiko tachiki, eri murakawa, katsuya kobayashi",asia,japan,missing,2020-09-20,20,"dan, tettsu and chiharu leave the battles of the sword district behind for a carefree road trip adventure and end up working in a hot spring resort.",32,norihisa hiranuma,102 min,102.0,,"dramas, international movies",9,tv-pg,2018,s1964,dtc yukemuri junjo hen from high & low,movie,2020,netflix
"takanori iwata, akira, sho aoyagi, hiroomi tosaka, takahiro, yuki yamada, masataka kubota, kento hayashi, keiji kuroki, goki maeda, elly, kenchi tachibana, tatsuya nakamura, kosuke toyohara, arata iura, kyoko koizumi",asia,japan,missing,2020-09-20,20,the five rival gangs ruling the sword district unite to face off against a 500-member strong attack led by a legendary gang leader.,56,shigeaki kubo,129 min,129.0,,"action & adventure, international movies",9,tv-ma,2016,s1965,high & low the movie,movie,2020,netflix
"takanori iwata, keiji kuroki, aoi nakamura, yuki yamada, masataka kubota, kento hayashi, naoto, akira, sho aoyagi, takahiro, hiroomi tosaka, nobuyuki suzuki, keita machida, elly, mandy sekiguchi, reo sano, masahiko tsugawa",asia,japan,missing,2020-09-20,20,"the peaceful truce in the sword district is violently disrupted by the intrusion of two brutal gangs, causing loyalties and rivalries to erupt.",44,"shigeaki kubo, tsuyoshi nakakuki",124 min,124.0,,"action & adventure, international movies",9,tv-ma,2017,s1966,high & low the movie 2 / end of sky,movie,2020,netflix
"takanori iwata, akira, masataka kubota, takahiro, hiroomi tosaka, sho aoyagi, reo sano, koichi iwaki, goro kishitani, masahiko tsugawa, keiji kuroki, yuki yamada, kento hayashi, naoto, elly, mandy sekiguchi",asia,japan,missing,2020-09-20,20,"the kuryu group makes it their mission to takeover the sword district once and for all, but the street gang alliance has a plan of their own.",44,"shigeaki kubo, tsuyoshi nakakuki",118 min,118.0,,"action & adventure, international movies",9,tv-ma,2017,s1967,high & low the movie 3 / final mission,movie,2020,netflix
"takahiro, hiroomi tosaka, takumi saitoh, miyu yoshimoto, ken ishiguro, takanori iwata, naoko iijima, koichi iwaki, nobuyuki suzuki, keita machida, kenjiro yamashita, kanta sato, taiki sato, noemi nakai, tatsuya nakamura, taichi saotome",asia,japan,missing,2020-09-20,20,"as the two younger amamiya boys search for their missing big brother, they uncover the truth about the tragedy that befell their family years ago.",56,yudai yamaguchi,111 min,111.0,,"action & adventure, international movies",9,tv-ma,2016,s1968,high & low the red rain,movie,2020,netflix
"kazuma kawamura, jun shison, yuki yamada, hokuto yoshino, goki maeda, ryuji sato, fuju kamio, jin shirasu, yuta nakatsuka, hayato komori, akihisa shiono, yo aoi, shin koyanagi, atsushi arai, ryotaro sakaguchi",missing,missing,missing,2020-09-20,20,the street fighters of oya high go up against the delinquent brawlers of housen academy in this action-packed “high & low” and “crows” crossover.,20,shigeaki kubo,125 min,125.0,,"action & adventure, international movies",9,tv-ma,2019,s1969,high & low the worst,movie,2020,netflix
"takanori iwata, nobuyuki suzuki, keita machida, akira, sho aoyagi, keiji kuroki, yuki yamada, masataka kubota, kento hayashi, kenjiro yamashita, kanta sato, taiki sato, takahiro, hiroomi tosaka, tatsuya nakamura, arata iura",asia,japan,missing,2020-09-20,20,three inseparable friends are torn when one of them becomes a member of a predatory criminal syndicate threatening to overpower his old friends' gang.,56,shigeaki kubo,94 min,94.0,,"action & adventure, international movies",9,tv-ma,2016,s1970,road to high & low,movie,2020,netflix
"karim abdel aziz, nelly karim, hend sabry, shereen reda, khaled el sawy, eyad nassar, tara emad, amgad elsharqawy",africa,egypt,missing,2020-09-20,20,"when a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them.",20,marwan hamed,130 min,130.0,,"horror movies, international movies, thrillers",9,tv-ma,2019,s1971,the blue elephant 2,movie,2020,netflix
"gippy grewal, gurpreet guggi, ragini khanna, om puri, b.n. sharma, avtar gill, karamjit anmol, rana jung bahadur",asia,india,missing,2020-09-19,19,married to two women – each unaware of the other – a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.,92,smeep kang,117 min,117.0,,"comedies, international movies",9,tv-14,2013,s1972,bhaji in problem,movie,2020,netflix
"soham chakraborty, bidya sinha mim, ashish vidyarthi, rajatabha dutta, rudranil ghosh, kharaj mukherjee",asia,india,missing,2020-09-19,19,"a small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.",68,raja chanda,137 min,137.0,,"action & adventure, international movies",9,tv-14,2015,s1973,black,movie,2020,netflix
"viraaj modgill, jasleen singh, pooja punjabi, viswanathan sridhar, manish bhavan, suvela sharma, surabhi pandey, zeel thakkar",missing,missing,missing,2020-09-19,19,"a troublemaking trio dreams big, plays hard and stirs up all sorts of classroom mischief in this animated spinoff of the popular hindi film franchise.",8,missing,1 season,,1.0,"kids' tv, tv comedies",9,tv-y,2020,s1974,fukrey boyzzz,tv show,2020,netflix
