type,country,date_added,month,day,year,release_year,rating,duration_min,duration_season,difference,continent,country_cleaned,duration,listed_in,description,show_id,director,cast,title
Movie,United States,2020-09-30,9,30,2020,2020,TV-MA,28,NA,8,North America,['United States'],28 min,"Documentaries, LGBTQ Movies","Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",s1933,,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins, Joe Mantello, Ned Martel, Mart Crowley",The Boys in the Band: Something Personal
TV Show,Australia,2020-09-30,9,30,2020,2020,TV-MA,NA,8,8,Oceania,['Australia'],8 Seasons,"Crime TV Shows, TV Dramas",Bea Smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison.,s1934,,"Danielle Cormack, Nicole da Silva, Kate Atkinson, Celia Ireland, Shareena Clanton, Aaron Jeffery, Robbie Magasiva, Katrina Milosevic, Jacqueline Brennan, Ra Chapman, Pamela Rabe, Sigrid Thornton, Socratis Otto, Bernard Curry, Tammy MacIntosh, Kate Jenkinson",Wentworth
Movie,United States,2020-09-29,9,29,2020,2012,PG-13,98,NA,104,North America,['United States'],98 min,Documentaries,This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.,s1935,Lee Hirsch,,Bully
Movie,United States,2020-09-29,9,29,2020,2020,TV-MA,59,NA,8,North America,['United States'],59 min,Stand-Up Comedy,"Scene-stealing queen Michelle Buteau dazzles with real talk on relationships, parenthood, cultural differences and the government workers who adore her.",s1936,Page Hurwitz,Michelle Buteau,Michelle Buteau: Welcome to Buteaupia
Movie,United States,2020-09-29,9,29,2020,2020,R,80,NA,8,North America,['United States'],80 min,Action & Adventure,"At a basketball game, an ex-Special Forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage.",s1937,Dallas Jackson,"Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira, Lyric Justice, Sagine Semajuste, Gary Owen, Anthony Grant, Kristen Harris, BJ Verot, Sean Skene, Marrese Crump, Stephanie Sy, Jeff Strome, Adam Hurtig, Gillian White, Anthony J. Mifsud",Welcome to Sudden Death
Movie,India,2020-09-28,9,28,2020,2013,TV-PG,104,NA,92,Asia,['India'],104 min,"Dramas, Independent Movies, International Movies","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",s1939,Rajat Kapoor,"Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur, Maya Sarao, Chandrachoor Rai, Namit Das, Brijendra Kala, Alka Chawla, Manu Rishi Chadha",Ankhon Dekhi
Movie,India,2020-09-28,9,28,2020,2014,TV-14,146,NA,80,Asia,['India'],146 min,"Comedies, Dramas, International Movies","After failing to win the heart of an aristocrat's widow, a thief plans to abduct her, only to discover that there are others with the same idea.",s1940,Abhishek Chaubey,"Naseeruddin Shah, Madhuri Dixit, Arshad Warsi, Huma Qureshi, Vijay Raaz, Manoj Pahwa, Salman Shahid",Dedh Ishqiya
TV Show,United States,2020-09-28,9,28,2020,2020,TV-PG,NA,1,8,North America,['United States'],1 Season,Docuseries,"The right to vote is at the foundation of America's democracy. But not every vote is created equal. How does the system work, and can it be fixed?",s1948,,,"Whose Vote Counts, Explained"
TV Show,United States,2020-09-27,9,27,2020,2019,TV-MA,NA,4,20,North America,['United States'],4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","After three years in a coma, Vanessa awakens to a world ravaged by vampires. Now, she and a motley band of fellow survivors fight to stay alive.",s1949,,"Kelly Overton, Jonathan Scarfe, Christopher Heyerdahl, Paul Johansson, David Cubitt, Tim Guinee",Van Helsing
TV Show,United States,2020-09-26,9,26,2020,2020,TV-14,NA,4,8,North America,['United States'],4 Seasons,TV Comedies,"Due to an error, self-absorbed Eleanor Shellstrop arrives at the Good Place after her death. Determined to stay, she tries to become a better person.",s1950,,"Kristen Bell, Ted Danson, William Jackson Harper, Jameela Jamil, D'Arcy Carden, Manny Jacinto",The Good Place
Movie,India,2020-09-26,9,26,2020,2015,TV-14,98,NA,68,Asia,['India'],98 min,"Dramas, Independent Movies, International Movies","Raised in the privileged bubble of Delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay.",s1951,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri, Kaamya Sharma, Riya Kothari, Aditya Jain, Shiva Dawar, Sanya Arora, Tarana Marwah, Raunaq Chopra, Vedabrata Rao",Time Out
TV Show,Germany,2020-09-25,9,25,2020,2020,TV-14,NA,1,8,Europe,['Germany'],1 Season,"Crime TV Shows, Docuseries, International TV Shows","This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",s1952,,,A Perfect Crime
TV Show,,2020-09-25,9,25,2020,2020,TV-Y,NA,3,8,,,3 Seasons,"Kids' TV, TV Comedies",An innocent toddler’s boundless curiosity – and extraordinary might – lead to mischief and adventure in his small Indian town.,s1953,,,Mighty Little Bheem
Movie,,2020-09-25,9,25,2020,2016,TV-MA,115,NA,56,,,115 min,"Dramas, International Movies","After leaving the orphanage where he was raised, a teen searches for his family only to find work at a farm, where secrets of the past begin to surface.",s1954,Ozan Açıktan,"Ozan Güven, Meryem Uzerli, Belçim Bilgin, Okan Yalabık, Bora Akkaş, Sabina Ajrula",My Mother's Wound
TV Show,United States,2020-09-25,9,25,2020,2020,TV-MA,NA,1,8,North America,['United States'],1 Season,TV Comedies,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.,s1955,,"Allen Maldonado, Andrew Bachelor, Jearnest Corchado, Matthew Josten, Yaani King Mondschein, Justin Lee, Aja Evans",Sneakerheads
TV Show,South Korea,2020-09-25,9,25,2020,2020,TV-MA,NA,1,8,Asia,['South Korea'],1 Season,"International TV Shows, TV Dramas, TV Mysteries","Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",s1956,,"Jung Yu-mi, Nam Joo-hyuk",The School Nurse Files
Movie,,2020-09-25,9,25,2020,2019,TV-MA,44,NA,20,,,44 min,"Documentaries, International Movies, Music & Musicals","In this documentary, South African rapper Nasty C hits the stage and streets of Tokyo, introducing himself to the city's sights, sounds and culture.",s1957,,Nasty C,Zulu Man in Japan
Movie,"United States, India",2020-09-24,9,24,2020,2011,PG-13,127,NA,116,Multi-Continent,"['United States', ' India']",127 min,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies",A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.,s1958,Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins",Real Steel
TV Show,United States,2020-09-24,9,24,2020,2020,TV-MA,NA,4,8,North America,['United States'],4 Seasons,Docuseries,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",s1959,,"Jon Favreau, Roy Choi",The Chef Show
Movie,United Kingdom,2020-09-23,9,23,2020,2020,PG-13,124,NA,8,Europe,['United Kingdom'],124 min,"Action & Adventure, Children & Family Movies, Dramas","While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",s1960,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Frances de la Tour, Fiona Shaw",Enola Holmes
Movie,United States,2020-09-22,9,22,2020,2020,TV-G,85,NA,8,North America,['United States'],85 min,Documentaries,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.,s1961,"Joshua Tickell, Rebecca Harrell Tickell",Woody Harrelson,Kiss the Ground
TV Show,United States,2020-09-22,9,22,2020,2020,TV-MA,NA,1,8,North America,['United States'],1 Season,Docuseries,Coaches with championship résumés share their personal rules for success in sports and life in this reflective and inspiring documentary series.,s1962,,,The Playbook
Movie,United States,2020-09-21,9,21,2020,2020,TV-PG,20,NA,8,North America,['United States'],20 min,Documentaries,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.,s1963,Sophia Nahli Allison,,A Love Song for Latasha
Movie,Japan,2020-09-20,9,20,2020,2018,TV-PG,102,NA,32,Asia,['Japan'],102 min,"Dramas, International Movies","Dan, Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort.",s1964,Norihisa Hiranuma,"Kenjiro Yamashita, Kanta Sato, Taiki Sato, Masayasu Yagi, Kousei Amano, Miu Arai, Taro Suruga, Yuko Fueki, Tomoki Hirose, Ryo Matsuda, Masaru Mizuno, Shunsuke Tanaka, Fumihiko Tachiki, Eri Murakawa, Katsuya Kobayashi",DTC Yukemuri Junjo Hen From High & Low
Movie,Japan,2020-09-20,9,20,2020,2016,TV-MA,129,NA,56,Asia,['Japan'],129 min,"Action & Adventure, International Movies",The five rival gangs ruling the SWORD district unite to face off against a 500-member strong attack led by a legendary gang leader.,s1965,Shigeaki Kubo,"Takanori Iwata, Akira, Sho Aoyagi, Hiroomi Tosaka, Takahiro, Yuki Yamada, Masataka Kubota, Kento Hayashi, Keiji Kuroki, Goki Maeda, Elly, Kenchi Tachibana, Tatsuya Nakamura, Kosuke Toyohara, Arata Iura, Kyoko Koizumi",High & Low The Movie
Movie,Japan,2020-09-20,9,20,2020,2017,TV-MA,124,NA,44,Asia,['Japan'],124 min,"Action & Adventure, International Movies","The peaceful truce in the SWORD district is violently disrupted by the intrusion of two brutal gangs, causing loyalties and rivalries to erupt.",s1966,"Shigeaki Kubo, Tsuyoshi Nakakuki","Takanori Iwata, Keiji Kuroki, Aoi Nakamura, Yuki Yamada, Masataka Kubota, Kento Hayashi, Naoto, Akira, Sho Aoyagi, Takahiro, Hiroomi Tosaka, Nobuyuki Suzuki, Keita Machida, Elly, Mandy Sekiguchi, Reo Sano, Masahiko Tsugawa",High & Low The Movie 2 / End of Sky
Movie,Japan,2020-09-20,9,20,2020,2017,TV-MA,118,NA,44,Asia,['Japan'],118 min,"Action & Adventure, International Movies","The Kuryu Group makes it their mission to takeover the SWORD district once and for all, but the street gang alliance has a plan of their own.",s1967,"Shigeaki Kubo, Tsuyoshi Nakakuki","Takanori Iwata, Akira, Masataka Kubota, Takahiro, Hiroomi Tosaka, Sho Aoyagi, Reo Sano, Koichi Iwaki, Goro Kishitani, Masahiko Tsugawa, Keiji Kuroki, Yuki Yamada, Kento Hayashi, Naoto, Elly, Mandy Sekiguchi",High & Low The Movie 3 / Final Mission
Movie,Japan,2020-09-20,9,20,2020,2016,TV-MA,111,NA,56,Asia,['Japan'],111 min,"Action & Adventure, International Movies","As the two younger Amamiya boys search for their missing big brother, they uncover the truth about the tragedy that befell their family years ago.",s1968,Yudai Yamaguchi,"Takahiro, Hiroomi Tosaka, Takumi Saitoh, Miyu Yoshimoto, Ken Ishiguro, Takanori Iwata, Naoko Iijima, Koichi Iwaki, Nobuyuki Suzuki, Keita Machida, Kenjiro Yamashita, Kanta Sato, Taiki Sato, Noemi Nakai, Tatsuya Nakamura, Taichi Saotome",High & Low The Red Rain
Movie,,2020-09-20,9,20,2020,2019,TV-MA,125,NA,20,,,125 min,"Action & Adventure, International Movies",The street fighters of Oya High go up against the delinquent brawlers of Housen Academy in this action-packed “High & Low” and “Crows” crossover.,s1969,Shigeaki Kubo,"Kazuma Kawamura, Jun Shison, Yuki Yamada, Hokuto Yoshino, Goki Maeda, Ryuji Sato, Fuju Kamio, Jin Shirasu, Yuta Nakatsuka, Hayato Komori, Akihisa Shiono, Yo Aoi, Shin Koyanagi, Atsushi Arai, Ryotaro Sakaguchi",High & Low The Worst
Movie,Japan,2020-09-20,9,20,2020,2016,TV-MA,94,NA,56,Asia,['Japan'],94 min,"Action & Adventure, International Movies",Three inseparable friends are torn when one of them becomes a member of a predatory criminal syndicate threatening to overpower his old friends' gang.,s1970,Shigeaki Kubo,"Takanori Iwata, Nobuyuki Suzuki, Keita Machida, Akira, Sho Aoyagi, Keiji Kuroki, Yuki Yamada, Masataka Kubota, Kento Hayashi, Kenjiro Yamashita, Kanta Sato, Taiki Sato, Takahiro, Hiroomi Tosaka, Tatsuya Nakamura, Arata Iura",Road To High & Low
Movie,Egypt,2020-09-20,9,20,2020,2019,TV-MA,130,NA,20,Africa,['Egypt'],130 min,"Horror Movies, International Movies, Thrillers","When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them.",s1971,Marwan Hamed,"Karim Abdel Aziz, Nelly Karim, Hend Sabry, Shereen Reda, Khaled El Sawy, Eyad Nassar, Tara Emad, Amgad Elsharqawy",The Blue Elephant 2
Movie,India,2020-09-19,9,19,2020,2013,TV-14,117,NA,92,Asia,['India'],117 min,"Comedies, International Movies",Married to two women – each unaware of the other – a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.,s1972,Smeep Kang,"Gippy Grewal, Gurpreet Guggi, Ragini Khanna, Om Puri, B.N. Sharma, Avtar Gill, Karamjit Anmol, Rana Jung Bahadur",Bhaji In Problem
Movie,India,2020-09-19,9,19,2020,2015,TV-14,137,NA,68,Asia,['India'],137 min,"Action & Adventure, International Movies","A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.",s1973,Raja Chanda,"Soham Chakraborty, Bidya Sinha Mim, Ashish Vidyarthi, Rajatabha Dutta, Rudranil Ghosh, Kharaj Mukherjee",Black
TV Show,,2020-09-19,9,19,2020,2020,TV-Y,NA,1,8,,,1 Season,"Kids' TV, TV Comedies","A troublemaking trio dreams big, plays hard and stirs up all sorts of classroom mischief in this animated spinoff of the popular Hindi film franchise.",s1974,,"Viraaj Modgill, Jasleen Singh, Pooja Punjabi, Viswanathan Sridhar, Manish Bhavan, Suvela Sharma, Surabhi Pandey, Zeel Thakkar",Fukrey Boyzzz
Movie,India,2020-09-19,9,19,2020,2013,TV-MA,139,NA,92,Asia,['India'],139 min,"Dramas, International Movies, Romantic Movies",Knotty love triangles and nefarious schemes arise when a nobleman’s plans to remarry fall into the cunning hands of his first wife and a vengeful rival.,s1975,Tigmanshu Dhulia,"Irrfan Khan, Jimmy Shergill, Soha Ali Khan, Mahie Gill, Raj Babbar, Deep Raj Rana, Rajiv Gupta, Sitaram Panchal, Rajesh Khera, Mugdha Godse",Saheb Biwi Aur Gangster Returns
Movie,India,2020-09-19,9,19,2020,2016,TV-14,111,NA,56,Asia,['India'],111 min,"Comedies, International Movies","Passed off as spies, two inept pals are sent to Fiji to rescue a kidnapped bureaucrat. Soon enough, they’re creating more problems than they’re solving.",s1976,Akashdeep,"Boman Irani, Vir Das, Neha Dhupia, Lisa Haydon, Ram Kapoor, Johny Lever, Vijay Raaz, Tinnu Anand, Sanjay Mishra, Ayub Khan",Santa Banta Pvt Ltd
Movie,India,2020-09-19,9,19,2020,2014,TV-MA,103,NA,80,Asia,['India'],103 min,"Dramas, International Movies, Thrillers","Knocked down by life one too many times, a meek family man drastically transforms from shy to savage after an encounter with a mysterious friend.",s1977,Rajesh Ganguly,"Jeet, Abir Chatterjee, Priyanka Sarkar, Shradha Das, Kharaj Mukherjee, Shantilal Mukherjee, Barun Chanda, Deb Ranajan Nag, Rajesh Sharma",The Royal Bengal Tiger
Movie,India,2020-09-18,9,18,2020,2020,TV-MA,120,NA,8,Asia,['India'],120 min,"Dramas, Independent Movies, International Movies","A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.",s1978,Alankrita Shrivastava,"Bhumi Pednekar, Konkona Sen Sharma, Vikrant Massey, Amol Parashar, Aamir Bashir, Karan Kundra, Kalp Shah, Hearty Singh, Neelima Azim, Kubbra Sait",Dolly Kitty Aur Woh Chamakte Sitare
TV Show,United States,2020-09-18,9,18,2020,2020,TV-MA,NA,1,8,North America,['United States'],1 Season,"TV Dramas, TV Horror, TV Mysteries","In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.",s1979,,"Sarah Paulson, Finn Wittrock, Judy Davis, Sharon Stone, Cynthia Nixon, Jon Jon Briones, Charlie Carver",Ratched
TV Show,United States,2020-09-18,9,18,2020,2020,TV-G,NA,1,8,North America,['United States'],1 Season,Reality TV,Eight of the country's best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.,s1980,,"Lyric Lewis, Rutledge Wood",The American Barbecue Showdown
TV Show,United States,2020-09-18,9,18,2020,2019,TV-14,NA,7,20,North America,['United States'],7 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers","After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner.",s1981,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold, Harry Lennix, Amir Arison, Hisham Tawfiq, Mozhan Marnò",The Blacklist
Movie,Indonesia,2020-09-18,9,18,2020,2020,TV-14,98,NA,8,Asia,['Indonesia'],98 min,"Comedies, International Movies, Romantic Movies",Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.,s1982,Chandra Liow,"Andovi da Lopez, Jovial da Lopez, Chandra Liow, Tommy Limmm, Susan Sameh, Widika Sidmore, Kezia Aletheia, Karina Salim",Whipped
Movie,India,2020-09-17,9,17,2020,2014,TV-14,130,NA,80,Asia,['India'],130 min,"International Movies, Thrillers","As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye.",s1983,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",Anaamika
TV Show,,2020-09-17,9,17,2020,2020,TV-MA,NA,1,8,,,1 Season,"Anime Series, International TV Shows","Resurrected as an Arisen, Ethan sets out to vanquish the Dragon that took his heart. But with every demon he battles, his humanity slips further away.",s1984,,"Greg Chun, Erica Mendez, Cristina Vee, David Lodge, Yuichi Nakamura, Nana Mizuki, Miyuki Sawashiro, Yuko Sanpei, Suzuko Mimori, Takayuki Sugo",Dragon's Dogma
Movie,France,2020-09-17,9,17,2020,2020,TV-MA,96,NA,8,Europe,['France'],96 min,"Documentaries, International Movies, Music & Musicals",Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,s1985,Florent Bodin,Maître Gims,GIMS: On the Record
Movie,United Kingdom,2020-09-17,9,17,2020,2020,TV-Y,61,NA,8,Europe,['United Kingdom'],61 min,"Children & Family Movies, Comedies","Worlds collide when Henry makes plans to spend Saturday on the sofa watching a ""Gross Class Zero"" marathon — and his favorite characters come to life!",s1986,Gary Andrews,"Lizzie Waterworth-Santo, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Philip Pope",Horrid Henry's Gross Day Out
Movie,,2020-09-17,9,17,2020,2014,TV-14,137,NA,80,,,137 min,"International Movies, Thrillers","As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye.",s1987,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",Nee Enge En Anbe
Movie,United States,2020-09-17,9,17,2020,2020,TV-MA,90,NA,8,North America,['United States'],90 min,"Dramas, Independent Movies",A young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified.,s1988,Merawi Gerima,"Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, JaCari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",Residue
TV Show,Germany,2020-09-17,9,17,2020,2020,TV-MA,NA,1,8,Europe,['Germany'],1 Season,"International TV Shows, TV Comedies, TV Dramas","Suddenly a widow, a woman rekindles her thirst for life by becoming a eulogist while navigating the existential landscape of death, grief and love.",s1989,,"Anke Engelke, Thorsten Merten, Nina Gummich, Johannes Zeiler, Juri Winkler, Gudrun Ritter, Aaron Hilmer, Claudia Geisler-Bading",The Last Word
TV Show,Italy,2020-09-16,9,16,2020,2020,TV-MA,NA,3,8,Europe,['Italy'],3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows","Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",s1990,,"Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini, Chabeli Sastre Gonzalez, Brando Pacitto, Lorenzo Zurzolo, Claudia Pandolfi, Galatea Ranzi",Baby
TV Show,United States,2020-09-16,9,16,2020,2020,TV-14,NA,1,8,North America,['United States'],1 Season,"Docuseries, Science & Nature TV","Engineers, officials and the crew members' families provide their perspective on the 1986 Space Shuttle Challenger disaster and its aftermath.",s1991,,,Challenger
TV Show,"United Kingdom, France, Germany, Spain",2020-09-16,9,16,2020,2020,TV-MA,NA,2,8,Europe,"['United Kingdom', ' France', ' Germany', ' Spain']",2 Seasons,"British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",s1992,,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland",Criminal: UK
Movie,,2020-09-16,9,16,2020,2018,TV-MA,69,NA,32,,,69 min,Stand-Up Comedy,"In this stand-up special, former doctor Jason Leong gives his diagnoses on the nonsense of traditional healers, business-class show-offs and more.",s1993,Kubhaer T. Jethwani,Jason Leong,Dr Jason Leong Hashtag Blessed
TV Show,Poland,2020-09-16,9,16,2020,2020,TV-MA,NA,2,8,Europe,['Poland'],2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas","When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town.",s1994,,"Andrzej Konopka, Helena Sujecka, Piotr Trojan, Michał Czernecki, Mariusz Ostrowski, Robert Gulaczyk, Mirosław Kropielnicki, Helena Englert, Paulina Gałązka, Magdalena Źak",Signs
TV Show,United States,2020-09-16,9,16,2020,2020,TV-PG,NA,1,8,North America,['United States'],1 Season,Reality TV,"In this fun, fast-paced music contest hosted by Tituss Burgess, players sing their hearts out and try to hit the right notes to win up to $60,000.",s1995,,Tituss Burgess,Sing On!
Movie,United States,2020-09-16,9,16,2020,2020,R,139,NA,8,North America,['United States'],139 min,"Dramas, Thrillers",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,s1996,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",The Devil All The Time
Movie,Spain,2020-09-16,9,16,2020,2020,TV-MA,94,NA,8,Europe,['Spain'],94 min,"Dramas, International Movies, Thrillers","Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot.",s1997,Carles Torras,"Mario Casas, Déborah François, Guillermo Pfening, María Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martín Bacigalupo",The Paramedic
Movie,"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",2020-09-16,9,16,2020,2016,R,92,NA,56,Multi-Continent,"['United Kingdom', ' France', ' United States', ' Belgium', ' Luxembourg', ' China', ' Germany']",92 min,"Action & Adventure, International Movies","After a mix-up lands him in hot water, a skilled pickpocket is forced to help a no-nonsense CIA operative track a terrorist group in Paris.",s1998,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard",The Take
TV Show,United Kingdom,2020-09-15,9,15,2020,2020,TV-MA,NA,9,8,Europe,['United Kingdom'],9 Seasons,"British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.,s1999,Philippa Lowthorpe,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",Call the Midwife
Movie,"Thailand, United States",2020-09-15,9,15,2020,2020,TV-PG,80,NA,8,Multi-Continent,"['Thailand', ' United States']",80 min,"Documentaries, International Movies","A Thai scientist and his family decide to cryonically freeze their cherished, dying toddler. This heartfelt documentary follows their journey.",s2000,Pailin Wedel,,Hope Frozen: A Quest to Live Twice
Movie,United Kingdom,2020-09-15,9,15,2020,2020,TV-MA,63,NA,8,Europe,['United Kingdom'],63 min,Stand-Up Comedy,"Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special.",s2001,Chris Howe,Michael McIntyre,Michael McIntyre: Showman
TV Show,United States,2020-09-15,9,15,2020,2020,TV-MA,NA,2,8,North America,['United States'],2 Seasons,"Docuseries, International TV Shows, Reality TV","Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure.",s2003,,,Taco Chronicles
Movie,"United States, France, Canada, Belgium",2020-09-15,9,15,2020,2013,PG,105,NA,92,Multi-Continent,"['United States', ' France', ' Canada', ' Belgium']",105 min,"Children & Family Movies, Comedies","Evil magician Gargamel continues his quest to tap the power of the Smurfs, creating a pair of his own ""Smurf-alikes"" called the Naughties.",s2004,Raja Gosnell,"Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Hank Azaria, Katy Perry, Christina Ricci, Jonathan Winters, J.B. Smoove, George Lopez, Anton Yelchin, Fred Armisen, Jacob Tremblay, Alan Cumming",The Smurfs 2
Movie,,2020-09-15,9,15,2020,2020,PG,93,NA,8,,,93 min,Children & Family Movies,Sisters Mia and Emma move to their grandmother’s farm far from the city and save a magical unicorn from local cowboys seeking its powers for themselves.,s2005,Steve Bencich,"Ryan Kiera Armstrong, Summer Fontana, Kevin J. O'Connor, Tait Blum, Jon Gries, Branscombe Richmond, Rick Overton, Jonathan Lajoie, Chloe Webb",Wish Upon a Unicorn
Movie,Nigeria,2020-09-14,9,14,2020,2018,TV-MA,140,NA,32,Africa,['Nigeria'],140 min,"Dramas, International Movies, Music & Musicals","When their glamorous, fast-paced lifestyle comes to a screeching halt, two sisters try to rebuild their fortunes through music and enterprise.",s2006,Tosin Coker,"Seyi Shay, Somkele Iyamah, Vector, Chioma Chukwuka Akpotha, Uche Jumbo, Sharon Ooja, Shaffy Bello, Saidi Balogun, Kemi Lala Akindoju, Ademola Adedoyin",Lara and the Beat
TV Show,"United Kingdom, China",2020-09-11,9,11,2020,2020,TV-Y,NA,2,8,Multi-Continent,"['United Kingdom', ' China']",2 Seasons,"British TV Shows, Kids' TV","The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship.",s2007,,"Greta Jameson, Ralf Jameson, Clementine Laikin, Felix Laikin",Buddi
